"","Hugo_Symbol","pcon_condensed","gc_condensed","pcon_unified","gc_unified"
"13321","CRHR1",0.0140076271727151,0.895107960344652,0.131589472842173,0.643960790829041
"13322","MAPT",0.0169696202365733,0.785226633416086,0.147884529613509,0.494429137095353
"13323","KANSL1",0.0328333019156204,0.22371069975277,0.076036733110547,0.144208483179486
"13324","ARL17B",0.0402668104116012,0.283858918051385,0.089939492635264,0.130340057165639
"13325","LRRC37A",0.0477626304021309,0.264486874941597,0.0734727390711287,0.199104969933061
"13326","LRRC37A2",0.0467745127120494,0.261198737772229,0.0875172226541354,0.174499977103486
"13327","ARL17A",0.0403346009207502,0.238868680731864,0.0843866621758168,0.216828043630334
"13328","NSF",0.0255795489602661,0.369604155349884,0.0838502416660449,0.129808497436025
"13329","WNT3",0.024242946064208,0.644620124712358,0.0664903386966424,0.346465622639306
"13330","WNT9B",0.0160051152695898,0.617451186477076,0.0436977875699991,0.708909744437147
"13331","GOSR2",0.038129086451888,0.182719528903885,0.0875813029242587,0.101636251438593
"13332","RPRML",0.00338583048974074,0.888081829352014,0.0561996462959324,0.420000906933506
"13333","CDC27",0.0296628125084864,0.221279657757997,0.0635122562240476,0.149606942562012
"13334","MYL4",0.000253046495242284,0.958330178993388,0.013349856362305,0.675299371576057
"13335","ITGB3",0.0173369155130652,0.574189100124149,0.0375295776762118,0.527792152385768
"13336","EFCAB13",0.0283347591451195,0.413385852641734,0.0551627709048907,0.379676726203976
"13337","NPEPPS",0.0290817543578009,0.214770365382256,0.0617381925310135,0.248299700786758
"13338","KPNB1",0.0315360014472907,0.1637555965749,0.07427476104192,0.124638746368298
"13339","TBKBP1",0.0392891712014339,0.254778226687499,0.0822834714962071,0.19859467846162
"13340","TBX21",0.0145829388176307,0.681798024750139,0.0343634880908861,0.332464475992499
"13341","OSBPL7",0.058139312929905,0.336761393372899,0.0903523940788728,0.330588206509955
"13342","MRPL10",0.0311985446044227,0.189288721165752,0.0690004764871898,0.136409034648231
"13343","LRRC46",0.00939316278932113,0.826836658105283,0.0667117612243172,0.466585583183199
"13344","SCRN2",0.041702636888343,0.251470869669411,0.0842828991888345,0.158952090913113
"13345","SP6",0.0388913488307496,0.641074370906471,0.127768801792881,0.39111551223919
"13346","SP2",0.0320738909012557,0.182135355337062,0.0752115021952596,0.0945505054930305
"13347","PNPO",0.0319031184810037,0.191425603416519,0.0677574797432216,0.309890944080756
"13348","PRR15L",0.043207355780936,0.699292007263311,0.112184857252369,0.502436575042952
"13349","CDK5RAP3",0.0532045984837512,0.257815315610503,0.0915219410760421,0.157187133751614
"13350","COPZ2",0.0352972064254882,0.379369932476568,0.079171758894367,0.204197808856056
"13351","NFE2L1",0.0256816075896825,0.308921185600652,0.0751528021624888,0.160566465412861
"13352","CBX1",0.0318983746081503,0.310513058753235,0.0774218620221748,0.232588009184096
"13353","SNX11",0.0368568206461269,0.172169939765743,0.071479268534848,0.14037902336308
"13354","SKAP1",0.012808566152178,0.593162849274235,0.0215645718374789,0.557860815175992
"13355","HOXB2",0.029806353195464,0.452274122800089,0.0450175035923351,0.454769218899874
"13356","HOXB3",0.0234301858455076,0.493079240984439,0.0350931187572668,0.473450534941922
"13357","HOXB4",0.0107186282653651,0.520780734685728,0.0176342093069438,0.417521169503694
"13358","HOXB5",0.010168848446869,0.640621487681321,0.00867602835500991,0.537172032547877
"13359","HOXB6",0.0112840480869828,0.626268358088827,0.0120070336747773,0.619522358725562
"13360","HOXB7",0.0156177387893713,0.567615945332695,0.0230357209743673,0.586657193704626
"13361","HOXB8",0.00639282318003366,0.773949307240141,0.0109837117079999,0.789046684556285
"13362","HOXB9",0.00554940799363351,0.858192784649468,0.0108696212117309,0.85983577876695
"13363","PRAC1",0.845743323899495,0.950672603007819,0.871224105894738,0.895891237788346
"13364","HOXB13",0.908286172584086,0.955626271749649,0.940517230315087,0.908926986508967
"13365","TTLL6",0.00626003572082588,0.829833545045433,0.0498628308741751,0.522862471553804
"13366","CALCOCO2",0.0282154913972196,0.234120063424809,0.0685133592003177,0.132014690050839
"13367","ATP5G1",0.0303368146498752,0.227787144078585,0.0708479513180032,0.154320748564128
"13368","UBE2Z",0.0408262620161526,0.183215415942657,0.0917751523236041,0.0918749194832773
"13369","SNF8",0.0350436226851092,0.132834386973808,0.0692423475207692,0.0633412184127771
"13370","IGF2BP1",0.00100561577768929,0.936521920869349,0,0.912251686744724
"13371","B4GALNT2",0.000407440352916432,0.87308258995455,0,0.741134796264465
"13372","GNGT2",0.0284881182057793,0.46541548740935,0.0472377774708051,0.292750550302963
"13373","ABI3",0.0316742596983557,0.467786645591433,0.0527952157413705,0.233728657376395
"13374","PHOSPHO1",0.00335176672541506,0.881396359023392,0.0847396226415094,0.22875587808418
"13375","ZNF652",0.0439875547269026,0.205959380381508,0.105847500791149,0.149956542450665
"13376","RP11-81K2.1",0.0359765128696481,0.459520773775137,0,0.864583333333333
"13377","PHB",0.0344051797953072,0.143143929472251,0.07979644520119,0.0992181347091901
"13378","NGFR",0.0336936842756623,0.538307574308182,0.120196316601556,0.384901500784105
"13379","NXPH3",0.0260697563821866,0.659521962818256,0.0699421673662485,0.496667937625552
"13380","SPOP",0.0436689152614148,0.316597137765502,0.113774637786385,0.192031111770679
"13381","SLC35B1",0.0342146106361695,0.13141278036473,0.0797936957865348,0.10763177417767
"13382","FAM117A",0.0237809767150486,0.288226720195611,0.0722066733332939,0.210744315122396
"13383","KAT7",0.0328357705536844,0.250458633297413,0.0845395234570717,0.133295239346799
"13384","TAC4",0.0248914585412194,0.466488356715525,0.0447388424367467,0.357292615083907
"13385","DLX4",0.0221209960160007,0.550752608661444,0.029338859766752,0.474929434822157
"13386","DLX3",0.00613963197358983,0.890160135107539,0.0625045110068567,0.541073758432113
"13387","ITGA3",0.0361817962555175,0.400753566080115,0.0529007636082752,0.306187835886195
"13388","PDK2",0.0220415776816045,0.320888261592009,0.0665032157351465,0.197467436081009
"13389","SAMD14",0.0255343296876552,0.743815483527197,0.137051751447638,0.368111941376723
"13390","PPP1R9B",0.0304197162982976,0.292940371356225,0.0622958334228622,0.162169761711894
"13391","SGCA",0.0257470754046298,0.715522984328118,0.0925118959822213,0.589269995237943
"13392","COL1A1",0.035529462911137,0.567358926564896,0.0361327762498312,0.473677591527118
"13393","TMEM92",0.013938712596997,0.689286173295379,0.0105890782703425,0.635333722565551
"13394","XYLT2",0.0449090686525629,0.346197352215055,0.100678818556894,0.229143323033056
"13395","MRPL27",0.0404189232034273,0.127873515859493,0.0822400985808205,0.0799126110163852
"13396","EME1",0.0154732014699677,0.585392462116197,0.0460877930592176,0.320239654879433
"13397","LRRC59",0.0369187212973805,0.181663864562584,0.0929075446699017,0.123548574530222
"13398","ACSF2",0.0429823925609542,0.357035904863504,0.067582666166517,0.281956265041271
"13399","CHAD",0.0163977782978696,0.570970722343901,0.0235683705087873,0.630701181402509
"13400","RSAD1",0.0351174064700782,0.186300069130462,0.0709265263200443,0.109332674433084
"13401","MYCBPAP",0.00674771077688139,0.850355525224868,0.0550625493338436,0.36144848764745
"13402","EPN3",0.0822798069305404,0.678392274225849,0.145810975059154,0.608188373240503
"13403","SPATA20",0.0455630388693207,0.349614301189719,0.0935119957625282,0.203863680943646
"13404","CACNA1G",0.0183444403120411,0.793941064228564,0.0442213495481801,0.832506674981973
"13405","ABCC3",0.0468149563384307,0.587213620507658,0.0423551636160588,0.39850400844584
"13406","ANKRD40",0.0239906101369703,0.38587754101309,0.0704439457276191,0.168965040605254
"13407","LUC7L3",0.0368823711428269,0.314629716774281,0.0675210226530945,0.241247008524565
"13408","WFIKKN2",0.00249648731542888,0.926884120736262,0.0998409700824968,0.482174122468328
"13409","TOB1",0.0440411255674203,0.312064493226051,0.0987037682521321,0.203129877450853
"13410","SPAG9",0.0220034491734128,0.270386584814756,0.0495866496297551,0.185615437566728
"13411","NME1",0.033829482922297,0.226581354019444,0.0815272302408806,0.141169492538057
"13412","NME2",0.0363634022780542,0.207396717510347,0.0820187216363556,0.124892678102158
"13413","MBTD1",0.0330240677056934,0.271275757757472,0.0706644283734361,0.151125839337259
"13414","UTP18",0.0279744593367257,0.257185996313451,0.0731534454367075,0.106996059641767
"13415","CA10",0.00028493909893175,0.948519944301672,0.00928037926562011,0.820285756553032
"13416","TOM1L1",0.0517246300947292,0.346385132831807,0.0963658529185434,0.289797882994614
"13417","COX11",0.0377023890749263,0.175358646396699,0.0828382121961067,0.0991139899749616
"13418","STXBP4",0.0441314387299194,0.298039984246739,0.0977777226925127,0.250332974537578
"13419","HLF",0.0301021611281105,0.436109581759221,0.0503581533062836,0.366663551165361
"13420","MMD",0.019154171620616,0.487392124304435,0.0421770253720117,0.315933889282735
"13421","TMEM100",0.0177654523347234,0.616413985665859,0.0231244748292825,0.660415002077165
"13422","PCTP",0.0294408527361974,0.268484386033792,0.0627628070573552,0.303805612892809
"13423","ANKFN1",0.0178519191986667,0.679869808013794,0.0307982401005657,0.686629384303803
"13424","NOG",0.0280595307843167,0.615142435875574,0.0303151017806637,0.773214356849779
"13425","C17orf67",0.0533968476521596,0.3023634164625,0.0805556247043887,0.228542212809471
"13426","DGKE",0.0360025904564246,0.350101983274544,0.0912387193811775,0.195510065782949
"13427","TRIM25",0.0212915938744915,0.273512256718912,0.0457919622364367,0.192935833304486
"13428","COIL",0.0283199424810296,0.362492021037894,0.0823319259499838,0.106346843331732
"13429","SCPEP1",0.0358941669331201,0.282383240859783,0.0815274545683951,0.264287470402903
"13430","AKAP1",0.0359468507718583,0.359277947098336,0.0769549091461501,0.233653202619293
"13431","MSI2",0.0382312457530174,0.382037069462893,0.115729205322589,0.292549154474617
"13432","MRPS23",0.0396857656336052,0.172794205083733,0.119729557870054,0.143297640926976
"13433","CUEDC1",0.0492001035763202,0.277761667307261,0.0926015044179738,0.185839802828899
"13434","VEZF1",0.0387427210853894,0.227707293414822,0.0822831883662979,0.146998377474628
"13435","SRSF1",0.0454853489280824,0.22173833188876,0.0768081167811323,0.10313382877932
"13436","DYNLL2",0.0352781068144598,0.24522126358087,0.0994657563209381,0.144322669219147
"13437","MKS1",0.0382013608141777,0.248050890170197,0.0789916012320744,0.141131635639502
"13438","LPO",0.000244933170621931,0.955558984225599,0.00933617079700693,0.861441297769986
"13439","MPO",0.0069605532531469,0.772775617003292,0.0703145196036191,0.344228283564777
"13440","SUPT4H1",0.0349742461539897,0.15004068554672,0.0790987043006529,0.0589697474916795
