"","Hugo_Symbol","bladder","breast","cervix","colon","kidney","liver","lung","prostate","salivary","stomach","thyroid","uterus","max_easophagus","Min","Quantile.1","Median","Quantile.3","Max"
"213","SFTPB",1.23,4.28,0,4.43,13.12,1.66,469249.9,2.85,2.23,4.545,527.25,1.63,9.89,0,1.66,4.28,9.89,469249.9
"214","SERPINA4",0.73,1.14,8.25,0,147.575,8078.22,0,6.7,0.21,145.02,0,8.035,0,0,0,1.14,8.25,8078.22
"215","UMOD",0,2.01,0,0,103752.855,0,0,2.71,0,2.635,0,0,0,0,0,0,2.01,103752.855
"216","INHBC",0.29,0.87,0.89,0,2.41,1572.76,0.69,4.135,0.48,0,6.16,0.8,0,0,0.29,0.8,2.41,1572.76
"217","PVALB",47.5,19.82,0,7,2523.355,105.89,47.5,6.94,11.04,10.08,26.095,12.69,5.725,0,7,12.69,47.5,2523.355
"218","S100A9",3564.78,1540.37,571.05,1015.93,710.745,1340.84,14361.31,827.915,226632.25,3103.19,536.465,228.325,496005.67,228.325,710.745,1340.84,3564.78,496005.67
"219","LEP",4.74,1721.16,1.22,3.47,0.98,0.21,0.53,0.455,2.03,3.045,0.78,0.395,2.01,0.21,0.53,1.22,3.045,1721.16
"220","SULT2A1",23.59,0.01,0.6,1.35,0.145,19482.97,0.1,1.57,0.14,47.17,0,0.16,2.23,0,0.14,0.6,2.23,19482.97
"221","FOXE1",1.5,1.35,0.47,0.19,1.99,0.22,0.57,7.085,66.18,1.44,3028.8,0,176.29,0,0.47,1.44,7.085,3028.8
"222","TTR",14.45,1,2.32,33.78,47.72,164758.26,2.92,18.035,1.93,136.67,2.78,4.37,25.085,1,2.78,14.45,33.78,164758.26
"223","CYP2A7",2.18,4.39,4.82,0.73,0.03,1561.89,2.39,2.39,0.57,0,0,4.545,0.36,0,0.36,2.18,4.39,1561.89
"224","APOH",0.95,0.58,6.46,16.15,58.095,194578.47,171.45,2.985,0.49,14.945,0.675,2.79,6.645,0.49,0.95,6.46,16.15,194578.47
"225","PCK1",3.92,470.14,4.28,890.44,6337.98,40062.48,2.39,3.26,13.62,56.88,8.99,12.155,15.8,2.39,4.28,13.62,470.14,40062.48
"226","LIPC",23.42,16.15,24.28,20.41,391.1,3665.02,13.52,8.58,6.41,14.4,27.84,10.12,9.415,6.41,10.12,16.15,24.28,3665.02
"227","MSX1",167.9,115.97,24660.96,17.13,31.805,8.92,60.39,50.98,27.44,35.125,91.09,649.98,73.03,8.92,31.805,60.39,115.97,24660.96
"228","A2ML1",30.12,9.63,4.74,1.64,0.63,0.95,1.64,14.89,780.44,13.93,1.91,2.955,10512.82,0.63,1.64,4.74,14.89,10512.82
"229","SFTPC",0,3,1.69,10.71,2.355,2.46,1589343.01,9.235,7.4,7.225,135.245,2.72,21.705,0,2.46,7.225,10.71,1589343.01
"230","PLIN1",41.52,9945.68,22.26,54.33,11.1,351.14,6.41,15.39,60.39,41.81,34.14,11.775,65.95,6.41,15.39,41.52,60.39,9945.68
"231","C8G",10.39,9.85,28.24,62.56,13.62,12415.75,13.72,11.255,13.52,63.225,26.86,15.055,30.56,9.85,13.52,15.055,30.56,12415.75
"232","SLC12A3",0.79,2.05,0.93,0.75,1813.935,0,2.12,2.945,1.16,3.61,0.89,0,2.23,0,0.79,1.16,2.23,1813.935
"233","TFR2",15.11,8.32,9.41,11.91,3.075,18689.27,9.27,4.33,13.22,94.67,5.82,5.21,52.45,3.075,5.82,9.41,15.11,18689.27
"234","VNN1",9.48,24.11,5.15,16.03,129.72,2875.3,46.18,6.285,24.99,44.255,7.34,16.15,10.59,5.15,9.48,16.15,44.255,2875.3
