"Hugo_Symbol","pcon","gini_coeff"
"CTD-2368P22.1",0.0999778445304329,0.316875531840264
"PBX3",0.113925205643624,0.302177014846569
"INMT-FAM188B",0.145045712873734,0.487383138235622
"GAS8",0.0815828558224097,0.201798777391412
"SPAG7",0.0813440767191028,0.102346662220513
"SLC8B1",0.0691697065916886,0.0992079880497458
"ADARB2",0.0695688008092009,0.457541447051806
"ZNF518B",0.119720361951277,0.207414419216259
"POU3F3",0.00241541495979366,0.911558185404339
"GSPT1",0.0778793542403045,0.126077201315618
"SP140L",0.0623951937677428,0.121667910883597
"DTHD1",0.0215561959654179,0.547186876524052
"EIF4EBP3",0.0959076323630529,0.121190606322397
"PTPN2",0.0643281318285817,0.133358579516579
"DIEXF",0.0722539677156809,0.107053325472683
"AK5",0.0372900718058276,0.76682792164811
"PDHA1",0.0514052726319025,0.177126137080893
"SLITRK2",0.0932995514773856,0.426251873233761
"RBBP8",0.0597231060479774,0.279607853063316
"LRRC73",0.0933851423520312,0.374427347908988
"MYO1C",0.0767585165725335,0.194351517921118
"EGR4",0.0826681870011403,0.542320849048329
"STAT2",0.0665596909848413,0.130653514662674
"DLGAP4",0.0760931349942622,0.159072581144149
"DCTN4",0.0908060308472043,0.100294414241918
"LRRN4CL",0.0257271945782771,0.540610789622205
"TPPP2",0.0165130216447043,0.736729172628958
"IRF2BP1",0.0886195870016759,0.153469729391367
"LMO3",0.0315801928985064,0.532466386983951
"ABI1",0.0644478189812309,0.159930606599912
"IKZF3",0.055471804776935,0.366789756152361
"TET2",0.0704454955161805,0.200013523871905
"LRRC9",0.767040552200173,0.821397756686799
"GRWD1",0.0802558354898176,0.0754961023501739
"ZNF852",0.0892812733150957,0.156622995545575
"SAPCD1",0.0670367908667944,0.259071702039994
"CACNB4",0.155825958702065,0.370858860903108
"GUCD1",0.0804265775903949,0.199088592365912
"EPHB6",0.116192923829043,0.496485549432997
"MSL1",0.0760513124919527,0.165337836407807
"XRCC6BP1",0.0640023822081746,0.127828404359178
"IRAK1BP1",0.0782142709434988,0.202671558145317
"TVP23B",0.0837246225345222,0.124354943271134
"UPF3A",0.0731859945918834,0.20585116980919
"CCNK",0.07149345168645,0.11446778214993
"RNF208",0.0827846977006885,0.256877001590051
"DHCR24",0.0855349698263624,0.522291544020845
"SPG21",0.0768054692993487,0.124478960087712
"NRBP1",0.0719779925184461,0.144772731382647
"NNT",0.0546620003947102,0.264187635844767
"CYHR1",0.125403622814199,0.143194414646312
"SRD5A3",0.0559807319095946,0.202337351617351
"ZNF317",0.0764874343839598,0.0805485669733459
"MIA2",0.0328894488736341,0.750358020751
"IL34",0.0418689456979283,0.398889439779193
"SPTBN2",0.0976784856392509,0.593451906673953
"ATR",0.0796992898623277,0.12019157599582
"LNP1",0.0662899645400294,0.202111631269529
"APOE",0.0030605660148034,0.817343241090844
"SLC28A1",0.000342120480906347,0.877278425752054
"CLDN5",0.0322588358977709,0.373712349075301
"RNF144B",0.105759478246742,0.38631451059298
"RNF43",0.198219893371404,0.340668046840634
"BX649567.1",0,0.923076923076923
"OR1J1",0,0.923076923076923
"APBB3",0.0631680034800464,0.245342421381527
"LRMP",0.0409247149669763,0.314263494220774
"EXOC7",0.0939459279968006,0.121938472160064
"PPP4C",0.0704162123776581,0.0824375605741903
"SH2D3C",0.0321260220902783,0.383590841110775
"MGAT1",0.0651905940554165,0.102919898406582
"TMEM243",0.0593856623347452,0.328764418862285
